date,latitude,longitude,name,d2m,t2m,swvl1,jumlah_hotspot,frp
2023-07-29,4.800000000000006,97.5999999999998,Aceh,21.789030000000025,31.872029999999995,0.35362896,0,0.0
2023-11-14,4.400000000000008,97.99999999999976,Aceh,24.42742000000004,27.51750000000004,0.44191414,0,0.0
2023-05-08,3.8000000000000087,96.59999999999984,Aceh,23.43112000000002,25.662260000000003,0.4241987,0,0.0
2023-09-16,3.7000000000000086,96.89999999999984,Aceh,22.916740000000004,25.54244,0.41371372,0,0.0
2024-01-12,5.000000000000005,97.5999999999998,Aceh,23.029700000000048,28.65180000000004,0.3993879,0,0.0
2024-09-02,5.8000000000000025,95.29999999999993,Aceh,23.920860000000005,28.70553000000001,0.4056985,0,0.0
2024-05-01,3.900000000000009,97.89999999999978,Aceh,23.260460000000023,25.60058000000004,0.41841343,0,0.0
2024-05-30,4.600000000000007,97.6999999999998,Aceh,25.54200000000003,30.152980000000014,0.4688372,0,0.0
2023-12-06,4.500000000000007,97.5999999999998,Aceh,23.86790000000002,27.646720000000016,0.41383797,0,0.0
2024-10-13,5.400000000000004,95.7999999999999,Aceh,23.14736000000005,24.41880000000004,0.4668056,0,0.0
2024-08-12,4.800000000000006,96.09999999999988,Aceh,20.75036,25.177580000000034,0.4045214,0,0.0
2023-10-11,4.700000000000006,96.49999999999986,Aceh,20.20165000000003,20.620480000000043,0.42900303,0,0.0
2023-09-08,2.5000000000000075,97.6999999999998,Aceh,25.04308000000003,28.47405000000004,0.3967852,0,0.0
2024-08-08,4.900000000000006,95.59999999999992,Aceh,22.752300000000048,26.78604000000001,0.33652824,0,0.0
2024-03-14,4.900000000000006,95.7999999999999,Aceh,19.69980000000004,27.534880000000044,0.31583077,0,0.0
2024-03-09,3.100000000000008,97.89999999999978,Aceh,22.707240000000013,26.40215000000001,0.41844395,0,0.0
2024-05-06,4.1000000000000085,96.49999999999986,Aceh,25.93823000000004,28.334400000000016,0.37813023,0,0.0
2023-03-17,5.400000000000004,95.59999999999992,Aceh,21.62298000000004,27.982100000000003,0.36414883,0,0.0
2023-04-28,4.900000000000006,96.89999999999984,Aceh,18.42828000000003,21.60930000000002,0.43122646,0,0.0
2024-04-08,3.5000000000000084,97.5999999999998,Aceh,17.212980000000016,21.060450000000003,0.39639282,0,0.0
2024-09-11,4.000000000000009,97.99999999999976,Aceh,24.551230000000032,27.998620000000017,0.42530823,0,0.0
2024-06-05,4.700000000000006,96.59999999999984,Aceh,16.28048000000001,25.71182000000005,0.337071,1,5.6
2024-01-21,3.200000000000008,97.3999999999998,Aceh,23.395350000000008,27.10214000000002,0.4179317,0,0.0
2023-05-02,3.900000000000009,97.19999999999982,Aceh,15.583370000000002,18.956140000000005,0.41601345,0,0.0
2023-03-18,4.700000000000006,96.39999999999986,Aceh,20.06988000000001,25.20060000000001,0.38737488,0,0.0
2024-03-07,5.300000000000004,95.49999999999991,Aceh,22.66274000000004,27.68835000000001,0.28702,0,0.0
2023-06-24,2.5000000000000075,96.29999999999988,Aceh,23.91467,28.01818000000003,0.16535078,0,0.0
2024-02-29,3.100000000000008,97.5999999999998,Aceh,21.59887000000004,26.980200000000025,0.3913814,0,0.0
2024-04-14,4.900000000000006,95.59999999999992,Aceh,22.75036,28.11727000000002,0.3900103,0,0.0
2024-09-02,4.700000000000006,96.29999999999988,Aceh,22.635700000000043,25.48705000000001,0.40220425,0,0.0
2023-10-05,3.4000000000000083,97.19999999999982,Aceh,21.012020000000007,22.91052000000002,0.42987496,0,0.0
2024-02-10,4.800000000000006,96.19999999999987,Aceh,19.79507000000001,26.08178000000004,0.41014317,0,0.0
2024-08-31,4.700000000000006,97.19999999999982,Aceh,21.44824,26.51034000000004,0.4055154,0,0.0
2023-09-26,4.1000000000000085,96.89999999999984,Aceh,19.22305,23.28230000000002,0.41107395,0,0.0
2024-07-09,4.200000000000008,96.59999999999984,Aceh,21.959100000000035,25.79077000000001,0.38116455,0,0.0
2023-04-27,4.800000000000006,95.59999999999992,Aceh,24.560940000000016,27.566580000000044,0.4158783,0,0.0
2023-09-30,3.3000000000000083,97.79999999999978,Aceh,20.39688000000001,25.16326000000004,0.41414753,0,0.0
2024-05-15,5.100000000000005,97.19999999999982,Aceh,25.023860000000013,28.375400000000013,0.40240043,0,0.0
2024-07-13,4.700000000000006,96.19999999999987,Aceh,18.85125000000005,25.73425000000003,0.44268146,0,0.0
2024-05-08,4.500000000000007,96.39999999999986,Aceh,22.19280000000004,26.18768,0.41863796,0,0.0
2023-07-02,5.100000000000005,95.6999999999999,Aceh,17.04717000000005,22.47598000000005,0.40009198,0,0.0
2023-10-28,4.200000000000008,97.79999999999978,Aceh,22.92175000000003,24.18700000000001,0.42083523,0,0.0
2024-01-26,4.600000000000007,96.59999999999984,Aceh,18.9443,21.80163000000005,0.4168178,0,0.0
2024-08-10,3.7000000000000086,96.89999999999984,Aceh,22.895440000000008,23.54437000000001,0.4329638,0,0.0
2024-03-03,2.600000000000008,95.99999999999989,Aceh,24.7448,29.199550000000045,0.4107143,0,0.0
2023-11-07,3.6000000000000085,97.79999999999978,Aceh,19.59094000000005,23.48205000000001,0.40380642,0,0.0
2023-08-23,5.100000000000005,96.89999999999984,Aceh,24.83447000000001,27.959130000000016,0.4701342,0,0.0
2024-11-03,5.200000000000005,96.29999999999988,Aceh,24.89450000000005,27.85420000000005,0.42898124,0,0.0
2023-04-20,3.4000000000000083,97.5999999999998,Aceh,18.07990000000001,19.742580000000032,0.42745972,0,0.0
2024-10-27,4.700000000000006,96.19999999999987,Aceh,19.69308000000001,25.75054,0.42478508,0,0.0
2024-10-09,4.1000000000000085,97.2999999999998,Aceh,18.449370000000044,20.52303000000001,0.42608425,0,0.0
2024-06-09,4.500000000000007,96.29999999999988,Aceh,21.14205000000004,28.07920000000001,0.3168575,0,0.0
2024-04-09,5.300000000000004,95.39999999999992,Aceh,22.499870000000044,26.12115,0.39075142,0,0.0
2024-05-21,4.900000000000006,96.59999999999984,Aceh,22.44058000000001,24.00726000000003,0.42439705,0,0.0
2024-04-11,2.600000000000008,97.6999999999998,Aceh,25.459600000000023,28.75842,0.41335186,0,0.0
2023-08-11,4.700000000000006,96.09999999999988,Aceh,21.25740000000002,24.722560000000044,0.45270866,0,0.0
